arrest_date,a_age,a_gender,a_race,v_age,v_gender,v_race,crime,weapon
4/13/2008 0:00,20,M,White,14,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,14,F,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,18,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,18,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,33,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,33,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,20,M,White,19,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,20,M,White,19,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,10,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,10,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,22,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,22,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,18,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,18,F,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,23,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,23,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,24,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,24,F,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,16,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,16,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,14,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,14,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,14,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,14,F,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,18,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,18,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,33,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,33,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/13/2008 0:00,19,M,White,19,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/13/2008 0:00,19,M,White,19,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/14/2008 0:00,23,M,Black or African American,21,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
4/14/2008 0:00,23,M,Black or African American,25,M,Black or African American,Murder and Nonnegligent Manslaughter,Handgun
4/15/2008 0:00,63,M,White,37,M,Unknown,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,30,F,Black or African American,53,M,Black or African American,Murder and Nonnegligent Manslaughter,Unknown
4/15/2008 0:00,16,M,White,10,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,16,M,White,10,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/15/2008 0:00,16,M,White,22,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,16,M,White,22,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/15/2008 0:00,16,M,White,18,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,16,M,White,18,F,White,Murder and Nonnegligent Manslaughter,Rifle
4/15/2008 0:00,16,M,White,23,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,16,M,White,23,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/15/2008 0:00,16,M,White,24,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,16,M,White,24,F,White,Murder and Nonnegligent Manslaughter,Rifle
4/15/2008 0:00,16,M,White,16,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,16,M,White,16,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/15/2008 0:00,16,M,White,14,M,White,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,16,M,White,14,M,White,Murder and Nonnegligent Manslaughter,Rifle
4/15/2008 0:00,16,M,White,14,F,White,Murder and Nonnegligent Manslaughter,Firearm
4/15/2008 0:00,16,M,White,14,F,White,Murder and Nonnegligent Manslaughter,Rifle
